SKU,Product,Category,Price,Quantity,Customer Name,Customer Email,Sale Date
SKU-1000,Produto 0,Geral,10.00,1,Cliente 0,cliente0@exemplo.com,01/08/2025
SKU-1001,Produto 1,Especial,11.00,2,Cliente 1,cliente1@exemplo.com,02/08/2025
SKU-1002,Produto 2,Geral,12.00,3,Cliente 2,,03/08/2025
SKU-1003,Produto 3,Especial,13.00,4,Cliente 3,cliente3@exemplo.com,04/08/2025
SKU-1004,Produto 4,Geral,14.00,5,Cliente 4,cliente4@exemplo.com,05/08/2025
SKU-1005,Produto 5,Especial,15.00,1,Cliente 5,cliente5@exemplo.com,06/08/2025
SKU-1006,Produto 6,Geral,16.00,2,Cliente 6,cliente6@exemplo.com,07/08/2025
SKU-1007,Produto 7,Especial,17.00,3,Cliente 7,,08/08/2025
SKU-1008,Produto 8,Geral,18.00,4,Cliente 8,cliente8@exemplo.com,09/08/2025
SKU-1009,Produto 9,Especial,19.00,5,Cliente 9,cliente9@exemplo.com,10/08/2025
SKU-1010,Produto 10,Geral,20.00,1,Cliente 10,cliente10@exemplo.com,11/08/2025
SKU-1011,Produto 11,Especial,21.00,2,Cliente 11,cliente11@exemplo.com,12/08/2025
SKU-1012,Produto 12,Geral,22.00,3,Cliente 12,,13/08/2025
SKU-1013,Produto 13,Especial,23.00,4,Cliente 13,cliente13@exemplo.com,14/08/2025
SKU-1014,Produto 14,Geral,24.00,5,Cliente 14,cliente14@exemplo.com,15/08/2025
SKU-1015,Produto 15,Especial,25.00,1,Cliente 15,cliente15@exemplo.com,16/08/2025
SKU-1016,Produto 16,Geral,26.00,2,Cliente 16,cliente16@exemplo.com,17/08/2025
SKU-1017,Produto 17,Especial,27.00,3,Cliente 17,,18/08/2025
SKU-1018,Produto 18,Geral,28.00,4,Cliente 18,cliente18@exemplo.com,19/08/2025
SKU-1019,Produto 19,Especial,29.00,5,Cliente 19,cliente19@exemplo.com,20/08/2025
SKU-1020,Produto 20,Geral,30.00,1,Cliente 20,cliente20@exemplo.com,21/08/2025
SKU-1021,Produto 21,Especial,31.00,2,Cliente 21,cliente21@exemplo.com,22/08/2025
SKU-1022,Produto 22,Geral,32.00,3,Cliente 22,,23/08/2025
SKU-1023,Produto 23,Especial,33.00,4,Cliente 23,cliente23@exemplo.com,24/08/2025
SKU-1024,Produto 24,Geral,34.00,5,Cliente 24,cliente24@exemplo.com,25/08/2025
SKU-1025,Produto 25,Especial,35.00,1,Cliente 25,cliente25@exemplo.com,26/08/2025
SKU-1026,Produto 26,Geral,36.00,2,Cliente 26,cliente26@exemplo.com,27/08/2025
SKU-1027,Produto 27,Especial,37.00,3,Cliente 27,,28/08/2025
SKU-1028,Produto 28,Geral,38.00,4,Cliente 28,cliente28@exemplo.com,29/08/2025
SKU-1029,Produto 29,Especial,39.00,5,Cliente 29,cliente29@exemplo.com,30/08/2025
